3054: adivinanzas | ¿que es un pollito de verde? un pollicia 
1094: colmos | ¿cual es el colmo de un astronomo?tener amores platonico 
2724: adivinanzas | ¿que le dijo una lagartija a un mono?-largemonos 
1177: colmos | ¿cual es el colmo de un ahorcado?que lo lleven preso por sacarle la lengua a la autoridad 
1406: abogados | oido en un juicio: ¿estaba ud. presente cuando se tomo su foto?  
4773: matrimonios | cariño, cuando cumplamos nuestras bodas de plata te voy a llevar a cancun.¿y cuando cumplamos las de oro? quien sabe, lo mismo te voy a buscar 
2068: enanos | primera escena: un enanito diciendo groserias.segunda escena: un enanito diciendo groserias tercera escena: el mismo enanito diciendo groserias. ¿como se llama la obra? bulgarcito 
1815: doctores | llega una señorita a ver al doctor y le dice:ay doctor, fijese que la frente se me esta llenando de punto azules y no se que hacer. entonces mientras el doctor la revisa y le dice: y digame en que trabaja su novio. y ella contesta que en un almacen. ah, y de que color es el lapicero que el usa. y ella responde: azul, doctor. pues digale a su novio que se quite el lapiz de la oreja cuando la bese.  
6341: papa_papa | papa ,papa ,en el colegio me dicen peludo y dice el padre: ¡maria! ¡ven para aca que el perro esta hablando!</div><div class=opciones> <span class=chisteid>#280929</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=280929' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
3220: adivinanzas | ¿en que se parece la mujer a las habichuelas? en que la mujer se pone enaguas, y las habichuelas se ponen en aguas 
6370: papa_papa | papa, papa, ¿como nacen los bebes?bueno hijo, primero salen los pies, luego el estomago, luego las manitas, y luego  la cabeza. ¡ah ya se! ¡se agarran y se juntan 
5967: animales | un dia un conejito llega a una pasteleria y le dice al pastelero:¿tiene pastel de zanahoria? y el pastelero le dice que no. pasan 7 dias y regresa y le pregunta lo mismo y le contesta que no, asi pasa un mes y un dia el pastelero se acuerda y hace el pastel de zanahoria. y al dia siguiente el conejito le pregunta que si tiene pastel de zanahoria y el pastelero le responde que si y el conejito le contesta: ¡guakala 
393: campesinos | un campesino amigo mio recibio una carta que decia:lea la carta por el reverso, es muy importante. y por el otro lado decia: lea el reverso, es muy importante. el campesino quedo con la duda, y se murio leyendo la carta 
7802: una_linea | eres mas vago que el sastre de tarzan.</div><div class=opciones> <span class=chisteid>#52610</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=52610' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
6840: atlantes | en la piscina municipal de atlantilandia, ocurrian varios accidentes, uno tras otro, hasta que un dia, el alcalde decidio hablar a la ciudad:debido a los reiterados accidentes que han ocurrido en la piscina, mañana procederemos a llenarla con agua 
4394: amigos | ¿ruben, has visto que en el banco municipal estan buscando un cajero?pero si la semana pasada tomaron a uno nuevo. a ese precisamente estan buscando 
2785: adivinanzas | ¿que le dice una chancla a otra chancla?¡que vida tan arrastrada 
1600: crueles | este era un doctor que le dice a su paciente:señor, le tengo una noticia buena y una mala. el señor le dice:  primero deme la buena doctor. la buena es que nunca mas se tendra que parar en su trabajo, nunca mas. ¿y la mala doctor? la mala es que le cortaremos las 2 piernas.  
64: borrachos | un hombre llega a su casa a las 5 de la mañana, completamente borracho. al entrar, encuentra a su mujer con una cara de muy pocos amigos. ¿que?, dice el hombre, cinico.  ¡pues que de que!, responde la mujer. desafiante y sorprendido, el contesta: ¡pues que de que de que!  ¡pues que de que de que de que! (ella)  ¡pues que de que de que de que de que, de que! ¿por que llegas tan tarde? ¡no me cambies el tema!  
5433: otros | un nuevo negocio estaba abriendo y uno de los amigos de los dueños quisieron enviar flores para la ocasion.ellos llegaron al sitio del nuevo negocio y el dueño leyo la tarjeta, se leia: descanse en paz. el dueño estaba furioso y llamo al florista para quejarse.  despues de que el le habia dicho al florista de los errores obvios y de que tan molesto estaba, el florista dijo: señor, siento mucho el error, pero en vez de enojarse, usted deberia imaginar esto: en alguna parte hay un funeral llevandose acabo hoy y ellos tienen las flores con una nota que dice: felicitaciones en su nuevo puesto.  
637: chistes_cortos | hace años que mi despertador no suena.firma: la bella durmiente 
7005: atlantes | llega un atlante al correo y dice:señorita, ¿llego carta para mi? la señorita le pregunta: ¿cual es su nombre? y el atlante le responde: en la carta debe decir 
5802: otros | en una fiesta de funciones en la que estaban invitadas todas las funciones, estaba la funcion exponencial, muy aislada y apartada en una esquina.las otras funciones se le acercan y le preguntan que le sucede, luego le dicen: ¡integrate!, y ella le responde: ¿para que?, si da lo mismo.  
4477: amigos | en un banco de un parque, dos ancianitas disfrutan el calorcito del sol. todas las mañanas, por los ultimos doce años, se han encontrado en el mismo banco, han conversado y disfrutado de la compañia respectiva. esa mañana, la mas joven de las dos, le dice a la otra:perdona la pregunta, me da pena, despues de tantos años, ¿como te llamas? la interpelada la mira fijamente, con expresion de angustia pintada en el rostro. por dos largos minutos, calla, hasta que, finalmente balbucea: ¿cuan pronto necesitas de esa informacion?    
3506: hombres | ¿cual es el peor castigo de un bigamo?tener dos suegras.  
3281: adivinanzas | verde por fuera, blanca por dentro, si quieres que te lo diga, espera.la per 
2870: adivinanzas | ¿por que los atlantes ponen el computador al lado de la ventana?para tener windows.  
5574: otros | estaba un gangoso en la escuela y la maestra dice:vamos a jugar a los refranes, y le pregunta a jose: a ver, perro que ladra... no muerde maestra, respondio jose.  y despues le pregunto al gangoso: a ver, ojo por ojo... a lo que el gangoso responde:  sesenta y cuatro 
7146: atlantes | un hombre encuentra a un amigo que estaba caminando a gatas por el suelo y le pregunta: ¿que buscas paco?una moneda de cinco pesetas. pero hoy en dia una moneda de cinco pesetas no va a ningun sitio. pues, por eso la busco.  
3636: jaimito | las clases de ingles de jaimitoun profesor de ingles que estaba harto de que un alumno suyo no pasara de curso por solo suspender su materia, entonces decidio hacerle un pequeño examen para ver si podia pasar. - a ver jaimito, si yo te dijera: open the window, ¿que seria? y jaimito responde: - window, window, eso es de los ordenadores, ¿no? - no jaimito, no es de los ordenadores, es abrir la ventana. - a ver, otra, ¿que es close the window? jaimito responde: - otra vez lo de lo ordenadores, ¿no? - no jaimito no, si open the window es abrir la ventana, close the window sera cerrar la ventana. - a ver, la ultima oportunidad jaimito, ¿que es good morning? jaimito dice: - ¡ah!, esta si que la se, good morning es, la ventana entre abierta.  
1850: doctores | doctor, escucho voces.pero, ¿cuando las escucha? pues, cada vez que atiendo al telefono 
3711: ladrones | un rico hacendado permanece de pie en el vestibulo de su casa leyendo una carta con gesto sumamente preocupado.señor x, ya le hemos avisado mas de una vez y usted parece no hacerse cargo de la situacion en que se encuentra. este es el ultimo aviso: si en plazo de 24 horas usted no ha depositado los cincuenta millones donde usted ya sabe, nos veremos en la desagradable necesidad de proceder a soltar a su suegra  
2951: adivinanzas | si superman es tan astuto, ¿por que usa el calzoncillo encima del pantalon? 
223: borrachos | estaba un borracho muerto de curado en el bus. cuando van llegando al terminal,  el chofer para el bus y le dice: caballero, llegamos. el borracho le responde: ¿y adonde andaban?</div><div class=opciones> <span class=chisteid>#592</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=592' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
6026: animales | si una vaca se para en una pata, ¿que pasaria?el pato se queda viudo 
489: chistes_cortos | era un hombre tan vago, que cuando se murio sus amigos pusieron la siguiente inscripcion en su tumba: aqui continua descansando...</div><div class=opciones> <span class=chisteid>#29798</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=29798' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
1300: comidas | esto son dos tomates que estan en la nevera, y le dice uno al otro:-oye, esto es muy aburrido, ¿verdad? y el otro histerico grita: -¡ahhhh! un tomate que habla 
1389: abogados | un doctor y un abogado estaban asistiendo a un coctel cuando al doctor se le aproximo un hombre quien le pidio ayuda sobre como manejar su ulcera. el doctor murmuro un consejo medico, entonces se volvio hacia el abogado y pregunto: ¿como manejas la situacion cuando se te pide un consejo durante un evento social?.solo envia una cuenta por ese servicio, respondio el abogado. a la mañana siguiente el doctor llego a su consulta y emitio una cuenta por 50 dolares para el hombre del coctel aproblemado por la ulcera. esa tarde el medico recibio una cuenta por 100 dolares del abogado.  
429: caperucita_roja | una vez caperucita roja fue a visitar a su abuelita sin saber que a su abuelita se la habia comido el lobo, entra a la casa y dice:abuelita, que ojos tan grandes tu tienes. y la abuelita dice:  es para verte mejor. nuevamente, caperucita mira a su abuelita y dice: abuelita, que orejas tan grandes tu tienes. y la abuelita dice: es para escucharte mejor. caperucita vuelve a insistir: abuelita, que nariz tan grande tu tienes. y la abuelita le dice: es para olerte mejor. abuelita que boca tan grande tu tienes. y la abuelita contesta ya cansada de sus preguntas: ¿a que viniste, a visitarme o a criticarme 
613: chistes_cortos | el sargento dice:¡capturar al general fuentes con el mayor sigilo! contestan: general fuentes capturado, seguimos buscando al mayor sigilo.  
879: chistes_cortos | era un niño tan feo, que cuando le tenian que cambiar los pañales, lo daban vuelta con palito.</div><div class=opciones> <span class=chisteid>#13736</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=13736' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
1045: colmos | ¿cual es el colmo mas pequeño?el colmillo.. 
20: borrachos | estaba un borracho en una esquina, cuando una mujer pasa caminando, el borracho la observa y le dice:¡adios fea! la mujer indignada se da media vuelta y le dice: ¡borracho! el borracho con una sonrisa le dice: si, pero a mi, mañana se me pasa 
8159: bares | un tio entra al bar y le dice al camarero:¡eh, camarero! ¿que quieres? pongame un cafe ¿solo? bueno, pongame dos 
6910: atlantes | (aclaracion: en la plaza de armas estan algunos correos y uno de ellos son los correos de chile)estaban dos atlantes que habian vivido toda su vida en españa, sentados en la plaza de armas de santiago de chile en eso que uno le dice al otro:  -oye pues manolo parece que aqui en chile no nos quieren ¿y por que dices eso paco? -porque mira alli dice correos de chile.  
6672: profesiones | la verdadera razon por la que no se usan los 10 mandamientos en las cortes del mundo, es porque tu no puedes decir en voz alta: tu no robaras, tu no cometeras adulterio y tu no mentiras en un edificio lleno de abogados, jueces y politicos, ¡crea un ambiente de trabajo hostil!</div><div class=opciones> <span class=chisteid>#343097</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=343097' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
1128: colmos | ¿cual es el colmo de un peluquero?perder por un pelito 
1652: deportes | un dia llega un niño y le dice a su padre:papi, papi, papi, fijate que hoy, el entrenador de futbol me dijo que  yo era una promesa de gol. y su padre emocionado le dice: ¿jugaste de delantero? y el niño le responde: ¡no, de arquero 
959: cientificos | guia de bolsillo de la ciencia moderna: 1. si es verde o repta, es biologia 2. si huele mal, es quimica 3. si no funciona, es fisica. 4. si no se entiende es matematicas 5. si no tiene sentido, es economia o psicologia  
3439: adivinanzas | ¿que le dijo la vaca al hombre?¡muuuuuuuuuuuchas gracias 
7896: una_linea | mama, pan. y se murio.</div><div class=opciones> <span class=chisteid>#689</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=689' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
6668: profesiones | un ingeniero agronomo recien licenciado vuelve a la granja de su padre, y se da una vuelta con el. -mira, papa, estas trabajando con unos metodos demasiado anticuados que hacen que tu produccion sea demasiado baja. por ejemplo, no puedes ni siquiera conseguir siquiera diez kilos de manzanas de cada uno de estos arboles ¿no es asi?  -claro que no, hijo. estos son naranjos.  
5318: novios | esta es una pareja que cuando se pelean se escriben por papel.  el esposo le escribe a su esposa, dame la cena y ella le escribe ya esta.  cuando se acuestan el le escribe despierteme a las 7:00 y ella le escribe esta bien.pasa la noche y el se despierta y cuando ve son las 11:00 y encuentra al lado de el un papel que dice son las 7:00, despiertate.   
5644: otros | estaban dos tomates en un refrigerador y un tomate le dice al otro:¡oye! y el otro contesta: ¡ay, un tomate que habla 
7216: atlantes | un atlante entra al consultorio medico con un sombrero de charro y el medico le pide que se quite el sombrero, este obedece y tiene un sapo sobre la cabeza, el medico asombrado le pregunta:¿como le comenzo eso? entonces, responde el sapo: bueno doctor, esto me comenzo con una verruga.  
6858: atlantes | ¿por que los atlantes no juegan a las damas? - porque no les gusta vestirse de mujeres 
2430: graffiti | mi novia es una perra.pluto.  no hallo la hora de irme. un ciego.  mi papa es un viejo verde. el hijo de hulk.  el auto nunca reemplazara al caballo. una yegua  
465: chistes_cortos | llega un señor y le dice a su esposa:vieja, ¿hiciste cafe? y ella responde: no, hice verde, pero ya estoy mejor 
6554: policias | eso, era uno que iba con su ferrari a 260 km/h y la civil le hace el alto.el guardia civil le dice: ¿la documentacion? el conductor le responde: no tengo. ¿los papeles del coche? el coche es robado. ¿me deja ver su guantera? no, tengo una pistola. ¿a ver su maletero por favor? llevo tres muertos. el civil no sabe que hacer, y llama al general. llega el general al sitio del suceso y habla con el conductor, y le dice: ¿la documentacion? si, tenga. ¿los papeles del coche? tenga, son estos. ¿me deja ver su guantera? si, mire, tengo las luces...  ¿puede abrir su maletero? mire, tengo los triangulos y todo lo obligatorio. el general dijo: pero si los guardias me han dicho que no tenias documentacion, que no tenias los papeles, que llevabas una pistola, y que llevabas tres muertos en el maletero. y el conductor le dice: ¿y tambien te diran que iba a 260 km/h?  
5785: otros | se encontraba un flojo durmiendo en una hamaca afuera de su casa, cuando en eso abre los ojos y ve como un alacran bajaba por el lazo de la hamaca. el flojo simplemente volvio a cerrar los ojos y le grito a su esposa:¡mujer, ve trayendome el antidoto para piquetes de alacran 
3540: hombres | ¿en que se parece una mujer a una estatua? en que las dos son huecas 
6581: policias | estaba un policia cuidando la vialidad cuando de pronto pasa un borracho y le dice:disculpe oficial, ¿que hora tiene? y el oficial muy amablemente le responde: faltan 15 minutos para las 2 de la tarde. el borracho le responde: pues a las 2 de la tarde, se va usted a la tiznada. y salio corriendo el borracho. el oficial salio detras de el. mas adelante se encontro con su pareja de guardia y le dice: pareja, ¿por que con tanta prisa? y el oficial le responde: es que ese borracho que va alla me dijo que a las 2 de la tarde me iba a ir a la tiznada. su pareja le responde: pero no se apure pareja, todavia faltan 12 minutos.  
855: chistes_cortos | ¿cual es el colmo de la fuerza?apretar una moneda de veinte duros hasta que el rey saque la lengua 
5931: animales | estaba un grillo y un elefante, y el grillo le dice al elefante:que fea cara tienes, mira esas orejotas, que feo, y yo chiquito bonito y canto, y mira que fea cola, y yo chiquito bonito y canto, y esas patas tan grandes y arrugadas y yo chiquito bonito y canto... ¡y plas! ¡cantabas chiquito, cantabas 
4345: amigos | le dice un amigo a otro:te invito a una fiesta de 15 años. el amigo le responde: si, pero yo me regreso mañana 
1965: actos | primer acto:sale un pavo con una pistola  segundo acto:  sale otro pavo con una espada tercer acto: sale otro pavo con una metralleta ¿como se llama el acto? los pavoranger 
6696: profesores | en la escuela un niño le pregunta a su maestra:-profesora, ¿a los cuantos años se muere un burro?. -¿por que?, ¿acaso ya te sientes mal? 
3670: jaimito | un dia jaimito le dice a su mama:¡mama, mama!, hay olor a muerto. mama, mami, mamita.. 
1692: doctores | un matrimonio va al medico y tras examinar a la mujer, el medico le dice al marido:-la verdad es que no me gusta el aspecto de su esposa. -ni a mi, pero su padre es rico 
4428: amigos | se encuentran dos amigos y uno le dice al otro:¿quien es mas grande, el sol o la luna? el otro le contesta: no se. y pregunta: ¿quien? la luna. ¿por que? ¡porque sale de noche! 
1727: doctores | doctor, doctor, estoy nervioso, es la primera operacion de mi vida.tranquilicese, que este es mi primer empleo como cirujano.  
3694: ladrones | un ladron, entro de noche en una casa y desperto a un hombre que dormia. el ladron dijo: ¡busco dinero! ¡que buena idea, espera a que encienda la luz y buscamos los dos 
6237: animales | era un puercoespin chiquito, y como acababa de nacer no podia ver. iba caminando y de repente se topa con un nopal (cactus, tuna) y como no veia y sintio picudo le pregunto:¿eres tu, mami 
281: borrachos | un borracho estaba golpeando un farol de la calle, se acerca otro borracho y le dice:- ¿que haces ahi? - ¿yo? llamando a mi casa. puess... insiste, insiste, que hay luz 
7872: una_linea | vvaayyaa tteeccllaaddoo mmaass sseennssiibbllee</div><div class=opciones> <span class=chisteid>#9857</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=9857' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
3729: ladrones | un ladron roba una joyeria y lo llevan donde el juez.¿por que lo niega si hay 4 personas que lo vieron robar? y eso que yo le puedo traer a miles que no me vieron.   
1091: colmos | ¿cual es el colmo de un periodista?tener un hijo diario 
441: chistes_cortos | entran 2 chicos al aula, y la maestra le dice a uno de ellos:alumno, ¿por que llego tarde? es que estaba soñando que viajaba por todas partes, conoci tantos paises, y me desperte un poco tarde. ¿y usted, alumno? ¡yo fui al aeropuerto a recibirlo 
7951: autos | ¿que significa frenos abs?a veces frena y a veces no 
7110: atlantes | dos atlantes se escapan de la carcel. de pronto los guardias se dan cuenta y comienzan a dar vueltas alrededor de la carcel y uno le dice al otro:¡rapido compadre que nos alcanzan! ¡no te preocupes que al cabo ya les llevamos 10 vueltas de ventaja 
1174: colmos | ¿cual es colmo de una costurera?perder el hilo de la conversacion 
345: borrachos | va un borracho cayendose por la calle cuando dobla la esquina y choca con el poste de la luz, y le dice:¡oh! disculpa mulato 
7450: restaurantes | un señor va a comer a un restoran y pide un pollo, el mozo se lo trae:pero mozo, lo que yo quiero de mi pollo es la parte de las patas. pero igual, ¿para que quiere las patas? ¿para bailar?  
831: chistes_cortos | dos ceros andan por el desierto cuando se encuentran a un ocho. un cero le grita al otro:- mira, ¡ese esta loco!, con el calor que hace, ¡¡va y se aprieta el cinturon!!  
1257: colmos | ¿cual es el colmo de la paciencia?sacarle las pulgas al gato con los guantes de box 
7451: secretarias | el jefe, enfadado le dice a la secretaria:-¿es que no oye el telefono señorita? ¿por que no contesta? -¿para que, si todas las llamadas son para usted?  
7448: restaurantes | un hombre en un restaurante:camarero, ¿tiene tabasco? y dice el camarero: si, en la masquina 
4827: militares | un soldado mirando por los binoculares...soldado, ¿son amigos o enemigos? creo mi general que son amigos, porque vienen juntos 
3909: machistas | ¿por que las mujeres no necesitan auto?por que del dormitorio a la cocina son solo unos pasos 
6928: atlantes | habia una vez una pareja atlantes en una piscina y el atlante dice:me voy a  tirar del trampolin. se sube al trampolin y la atlante desde abajo le dice: uy, pareces un aguila. el atlante dice: ¿por que? ¿por mi pose? no, por las uñas de tus patas.   
5087: niños | pablito la cigueña te va a traer un hermanito de paris y vas a tener con quien jugar pero , mami , si yo no hablo frances ...  
7398: religiosos | habia dos monjas muy buenas amigas, pero se tuvieron que separar para ayudar a niños pobres. una se fue a áfrica y la otra a asia.¿como se llamaban las monjas? por telefono 
1353: abogados | cuando una persona ayuda a un criminal antes de cometer un delito, lo llamamos complice.si lo ayuda despues de haber violado la ley, lo llamamos un abogado.  
4629: matrimonios | una pareja estaba comiendo en un restaurante, el concentrado en su plato, con cara de aburrido y ella, mirando al resto de la gente. la señora de repente reconoce una cara conocida en el bar.mira, ernesto, dice la señora, con lo que el aludido, todavia con cara de lata, levanta su cabeza, ahi esta mi ex, chupando (bebiendo) como enfermo en el bar. ha estado bebiendo asi por diez años, desde que lo deje. no hables leseras, dice el actual marido, volviendo a su comida, si no es para tanto, como para que el pobre todavia siga celebrando 
7199: atlantes | ¿por que los atlantes no se montan en el autobus cuando llueve?porque el limpia parabrisa indica una señal que dice no.   
4391: amigos | van tarado y nadie a la orilla del rio y nadie se cae entonces tarado le dice a un policia -señor nadie se cayo al rio- y el policia le dice -disculpame ¿tu eres tarado?-,tarado responde -¡si mucho gusto!-</div><div class=opciones> <span class=chisteid>#279535</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=279535' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
2122: exageraciones | era un señor tan pequeño, pero tan pequeño, que se sento en un billete de 100 y sobraron 99 pesos. era una gallina tan flaca, que en vez de dar huevos daba lastima.  era una señora tan gorda pero tan gorda, que cuando murio tuvieron que hacerle su propio cementerio.  era un viejito que tenia los dientes tan amarillos, que su lengua tenia que usar lentes porque se encandilaba.  era un hombre tan gordo, que la policia lo disolvio porque pensaban que era una manifestacion.  era un señor tan optimista que una vez le dio un infarto y dijo que fue una corazonada.  era una mujer tan enana que al morirse no se fue al cielo, se fue al techo.    
683: chistes_cortos | ¿como se llama el campeon mundial de moto?yosi montomoto.  ¿y el subcampeon? yokasi montomoto.     
4714: matrimonios | un hombre y una mujer acababan de conocerse en una reunion social y estaban conversando. el tema eran sus matrimonios anteriores.yo perdi a mi marido en el mar, dijo la señora. lo siento mucho, replico el caballero, ¿se lo llevaria una corriente mientras nadaba? ¡no, que va!, ibamos en un crucero y se lo llevo una rubia despampanante 
4474: amigos | ¿sabe, compa? las mujeres esperan ansiosas que lleguen mis cartas.¡vaya! ¿tiene mucho exito con las mujeres, compadre? no tanto, yo me referia a lo que pasa con mi nueva chamba de cartero 
6307: animales | un dia un caballo que estaba en su corral oyo a su amo que lo iba a sacrificar. asustado por la noticia decidio arrancarse del campo para evitar su muerte, camino y camino por mucho tiempo hasta que llego a los dominios del leon. cuando el leon lo vio le pregunto que hacia en sus dominios. estaba furioso y el caballito le dijo que el doctor le habia dado esa receta medica, de pasear por el campo, y el leon le pregunto si tenia el papel con la receta escrita, a lo que el caballito le dijo que si, y el leon le pregunto que donde la tenia y el caballito le respondio que debajo de la cola. el leon se le acerco y le levanto la cola para buscarla y justo en ese momento el caballito le dio dos tremendas patadas, lo que hizo que el leon viera estrellas de dolor, y cuando las vio dijo:¡es muy tarde, me voy a acostar 
5949: animales | va una pareja de moscas en una moto y le dice la mosca de atras, ¡para! ¡para!, que se me a metido un mosquito en el ojo.</div><div class=opciones> <span class=chisteid>#278500</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=278500' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
1527: cornudos | ¡hola compadre! ¿que le pasa que lo veo pensativo?a lo que este le responde: es que me dijeron viejo cornudo. y el amigo le responde: tranquilo compadre, si no estas tan viejo 
6079: animales | llega un señor a una tienda de mascotas muy preocupado y le dice el vendedor:¿que necesita señor? el otro contesta: quiero algo especial, algo que ni yo pueda creer. el vendedor le dice: ya se, y le vende un cien pies que habla. el señor llega a su casa y le dice al cien pies: ve a la tienda, y traeme leche y pan. si señor, contesta el cien pies y se va. el señor espera y espera al cien pies, pasan horas, hasta que se asoma pensando lo peor y el cien pies esta sentado en el escalon y el señor muy enojado le dice: ¿que haces aqui todavia? disculpame, le dice el cien pies, pero es que todavia no termino de atarme los zapatos.   
3514: hombres | llega un pintor al entierro de su compañero de oficio; llorando se dirige penosamente a la esposa (ahora viuda) de su compañero, y le dice con dolidas palabras:señora, lamento muchisimo lo ocurrido, comparto la pena que sufre, pero tengo algo que decirle. las ultimas palabras de su esposo, a mi me toco escucharlas.  la señora se dirige a el con cara todavia mas dolida, con la voluntad de saber las ultimas palabras de su esposo y le dice : señor, por favor, le suplico me diga cuales fueron las ultimas palabra de mi esposo, antes de morir. responde el señor: estas, fueron sus ultimas palabras: ¡no muevas el andamio, por favor, no muevas el andamio, que nos vamos a caer!  
2485: habia_una_vez | habia una vez una persona tan, tan flaca, que ni siquiera tenia dedo gordo.</div><div class=opciones> <span class=chisteid>#342834</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=342834' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
